sf__Id,sf__Created,Name,inscor__Keyword__c,Manufacturer_Name__c,BD_ExternalId__c,job_id
01tep000002QcuYAAS,False,LK39527,CLIP,Boeing,22300.0,750ep000003HeSLAA0
01tep000002QcuZAAS,False,LM117HVH,REGULATR,Boeing,22301.0,750ep000003HeSLAA0
01tep000002QcuaAAC,False,LP1001,CASCADE,Boeing,22302.0,750ep000003HeSLAA0
01tep000002QcubAAC,False,LP1002,CASCADE,Boeing,22303.0,750ep000003HeSLAA0
01tep000002QcucAAC,False,LP1003,CASCADE,Boeing,22304.0,750ep000003HeSLAA0
01tep000002QcudAAC,False,LP1004,CASCADE,Boeing,22305.0,750ep000003HeSLAA0
01tep000002QcueAAC,False,LP1005,CASCADE,Boeing,22306.0,750ep000003HeSLAA0
01tep000002QcufAAC,False,LP1006,CASCADE,Boeing,22307.0,750ep000003HeSLAA0
01tep000002QcugAAC,False,LP1008,CASCADE,Boeing,22308.0,750ep000003HeSLAA0
01tep000002QcuhAAC,False,LP1009,CASCADE,Boeing,22309.0,750ep000003HeSLAA0
01tep000002QcuiAAC,False,LP1010,CASCADE,Boeing,22310.0,750ep000003HeSLAA0
01tep000002QcujAAC,False,LP1011,CASCADE,Boeing,22311.0,750ep000003HeSLAA0
01tep000002QcukAAC,False,LQ0B133,LAMP,Boeing,22312.0,750ep000003HeSLAA0
01tep000002QculAAC,False,LT025E3R,SPRING,Boeing,22313.0,750ep000003HeSLAA0
01tep000002QcumAAC,False,M1-61,LATCH,BE Aerospace,22314.0,750ep000003HeSLAA0
01tep000002QcunAAC,False,M1-62,LATCH,Boeing,22315.0,750ep000003HeSLAA0
01tep000002QcuoAAC,False,M12301IND02,TIRE,Boeing,22316.0,750ep000003HeSLAA0
01tep000002QcupAAC,False,M12501IND02,TIRE,Boeing,22317.0,750ep000003HeSLAA0
01tep000002QcuqAAC,False,M520U5NL,RELAY,Boeing,22318.0,750ep000003HeSLAA0
01tep000002QcurAAC,False,M677,GASKET,Honeywell Aerospace,22319.0,750ep000003HeSLAA0
01tep000002QcusAAC,False,MA20A1001-1,ACTUATOR,Boeing,22320.0,750ep000003HeSLAA0
01tep000002QcutAAC,False,MEK4FB,ROD END,Boeing,22321.0,750ep000003HeSLAA0
01tep000002QcuuAAC,False,MEK6ES,BEARING,Boeing,22322.0,750ep000003HeSLAA0
01tep000002QcuvAAC,False,MEK6FB,ROD END,Boeing,22323.0,750ep000003HeSLAA0
01tep000002QcuwAAC,False,MF10-02-11,MASK-REGULATOR(,Zodiac,22324.0,750ep000003HeSLAA0
01tep000002QcuxAAC,False,MF20-003,MASK-REGULATOR(,Zodiac,22325.0,750ep000003HeSLAA0
01tep000002QcuyAAC,False,MH12,CLAMP,Boeing,22326.0,750ep000003HeSLAA0
01tep000002QcuzAAC,False,MH6,CLAMP,Boeing,22327.0,750ep000003HeSLAA0
01tep000002Qcv0AAC,False,MK6EPDL,ROD END,Boeing,22328.0,750ep000003HeSLAA0
01tep000002Qcv1AAC,False,MK7EPDL,BEARING,Boeing,22329.0,750ep000003HeSLAA0
01tep000002Qcv2AAC,False,MKL6EPDL,BEARING,Boeing,22330.0,750ep000003HeSLAA0
01tep000002Qcv3AAC,False,MM3001,HOUSING ADAPTER,Jamco America,22331.0,750ep000003HeSLAA0
01tep000002Qcv4AAC,False,MM3002,HOUSING SUPPORT,Jamco America,22332.0,750ep000003HeSLAA0
01tep000002Qcv5AAC,False,MN1604,BATTERY,Agusta Airframe Components,22333.0,750ep000003HeSLAA0
01tep000002Qcv6AAC,False,MSC489-105,KNOB,Boeing,22334.0,750ep000003HeSLAA0
01tep000002Qcv7AAC,False,MSSTMA06MBA,BEARING,Boeing,22335.0,750ep000003HeSLAA0
01tep000002Qcv8AAC,False,MXP402-3,STOWAGEBOX(MAGI,Zodiac,22336.0,750ep000003HeSLAA0
01tep000002Qcv9AAC,False,NE102666-0496CM,CLAMP,Boeing,22337.0,750ep000003HeSLAA0
01tep000002QcvAAAS,False,NE102669-0362AM,CLAMP,Boeing,22338.0,750ep000003HeSLAA0
01tep000002QcvBAAS,False,NH1003238-10,CLAMP AY,Boeing,22339.0,750ep000003HeSLAA0
01tep000002QcvCAAS,False,NH1008378-30,CLAMP,Boeing,22340.0,750ep000003HeSLAA0
01tep000002QcvDAAS,False,NH1008379-30,CLAMP,Boeing,22341.0,750ep000003HeSLAA0
01tep000002QcvEAAS,False,NH103404-0200,COUPLING,Boeing,22342.0,750ep000003HeSLAA0
01tep000002QcvFAAS,False,NH15227,XFMR,Boeing,22343.0,750ep000003HeSLAA0
01tep000002QcvGAAS,False,NM135055-0500,CLAMP,Boeing,22344.0,750ep000003HeSLAA0
01tep000002QcvHAAS,False,NM135055-0600,CLAMP,Boeing,22345.0,750ep000003HeSLAA0
01tep000002QcvIAAS,False,1000455-1,FILTER,HAMILTON SUNDSTRAND,22346.0,750ep000003HeSLAA0
01tep000002QcvJAAS,False,1001G33A00000,GALLEY,None Specified,22347.0,750ep000003HeSLAA0
01tep000002QcvKAAS,False,1001KLM02,HARNESS,None Specified,22348.0,750ep000003HeSLAA0
01tep000002QcvLAAS,False,1.00242E+12,SEAL (1/1),Raytheon Aircraft Airframe Componenst and Spare Pa,22349.0,750ep000003HeSLAA0
01tep000002QcvMAAS,False,1002KLM02,HARNESS,None Specified,22351.0,750ep000003HeSLAA0
01tep000002QcvNAAS,False,1003KLM02,HARNESS,None Specified,22352.0,750ep000003HeSLAA0
01tep000002QcvOAAS,False,1004KLM02,HARNESS,None Specified,22353.0,750ep000003HeSLAA0
01tep000002QcvPAAS,False,1005KLM02,HARNESS,None Specified,22354.0,750ep000003HeSLAA0
01tep000002QcvQAAS,False,1006KLM02,HARNESS,None Specified,22355.0,750ep000003HeSLAA0
01tep000002QcvRAAS,False,1007KLM02,HARNESS,None Specified,22356.0,750ep000003HeSLAA0
01tep000002QcvSAAS,False,1008KLM02,HARNESS,None Specified,22357.0,750ep000003HeSLAA0
01tep000002QcvTAAS,False,101-00114,SENSOR,None Specified,22358.0,750ep000003HeSLAA0
01tep000002QcvUAAS,False,10100N01Y00,INDICATR,None Specified,22359.0,750ep000003HeSLAA0
01tep000002QcvVAAS,False,10100N02Y00,INDICATOR/RES F,AIRBUS SAS,22360.0,750ep000003HeSLAA0
01tep000002QcvWAAS,False,10100N03Y00,INDICATOR,AIRBUS SAS,22361.0,750ep000003HeSLAA0
01tep000002QcvXAAS,False,10106-731,BEARING,None Specified,22362.0,750ep000003HeSLAA0
01tep000002QcvYAAS,False,101152-1,GALLEY,None Specified,22363.0,750ep000003HeSLAA0
01tep000002QcvZAAS,False,1014346,SEAL,Roll-Royce RB211-535 Engine Spare Parts,22364.0,750ep000003HeSLAA0
01tep000002QcvaAAC,False,10167-3001BT,RELAY,None Specified,22365.0,750ep000003HeSLAA0
01tep000002QcvbAAC,False,1017S5,INCLINOMETER,Resource Data Pricing (Map to AVL),22366.0,750ep000003HeSLAA0
01tep000002QcvcAAC,False,1018ELM1,PANEL,None Specified,22367.0,750ep000003HeSLAA0
01tep000002QcvdAAC,False,101TL2-3,SWITCH,None Specified,22368.0,750ep000003HeSLAA0
01tep000002QcveAAC,False,101TL2834-3,SWITCH,None Specified,22369.0,750ep000003HeSLAA0
01tep000002QcvfAAC,False,1021-1,SHAVER CONV,Jamco America,22370.0,750ep000003HeSLAA0
01tep000002QcvgAAC,False,1022490,SEAL,None Specified,22371.0,750ep000003HeSLAA0
01tep000002QcvhAAC,False,102268-6,LENS,None Specified,22372.0,750ep000003HeSLAA0
01tep000002QcviAAC,False,1022KLM01,HARNESS,None Specified,22373.0,750ep000003HeSLAA0
01tep000002QcvjAAC,False,1023KLM01,HARNESS,None Specified,22374.0,750ep000003HeSLAA0
01tep000002QcvkAAC,False,1024-4,DIMMER CONTROL,NO MFG INFO,22375.0,750ep000003HeSLAA0
01tep000002QcvlAAC,False,1024KLM01,HARNESS,None Specified,22376.0,750ep000003HeSLAA0
01tep000002QcvmAAC,False,1025KLM01,HARNESS,None Specified,22377.0,750ep000003HeSLAA0
01tep000002QcvnAAC,False,1027,ASHTRAY,Bombardier,22378.0,750ep000003HeSLAA0
01tep000002QcvoAAC,False,10284-05,BLANKET,None Specified,22379.0,750ep000003HeSLAA0
01tep000002QcvpAAC,False,10284-06,BLANKET,None Specified,22380.0,750ep000003HeSLAA0
01tep000002QcvqAAC,False,10284-07,BLANKET,None Specified,22381.0,750ep000003HeSLAA0
01tep000002QcvrAAC,False,102LJ2AG,"PROBE,HUMIDITY-",None Specified,22382.0,750ep000003HeSLAA0
01tep000002QcvsAAC,False,102TL2-3,SWITCH,None Specified,22383.0,750ep000003HeSLAA0
01tep000002QcvtAAC,False,102TL2164-7,"SWITCH, TOGGLE",BAE Systems,22384.0,750ep000003HeSLAA0
01tep000002QcvuAAC,False,102TL2164-70,"SWITCH, TOGGLE",BAE Systems,22385.0,750ep000003HeSLAA0
01tep000002QcvvAAC,False,102TL2887-70,SWITCH,None Specified,22386.0,750ep000003HeSLAA0
01tep000002QcvwAAC,False,103-00117,SENSOR,None Specified,22387.0,750ep000003HeSLAA0
01tep000002QcvxAAC,False,1030801-12014,PIN-SPRING,Jamco America,22388.0,750ep000003HeSLAA0
01tep000002QcvyAAC,False,1030803-15010,PIN-SPRING,Jamco America,22389.0,750ep000003HeSLAA0
01tep000002QcvzAAC,False,1033-1,CONTRLLR,Astronics,22390.0,750ep000003HeSLAA0
01tep000002Qcw0AAC,False,10377T02Y00,TRANSMITTER,None Specified,22391.0,750ep000003HeSLAA0
01tep000002Qcw1AAC,False,10378T02Y00,XMTR,AIRBUS SAS,22392.0,750ep000003HeSLAA0
01tep000002Qcw2AAC,False,104-0018,SENSOR,None Specified,22393.0,750ep000003HeSLAA0
01tep000002Qcw3AAC,False,10486N01Y00,INDICATR,AIRBUS SAS,22394.0,750ep000003HeSLAA0
01tep000002Qcw4AAC,False,104TL2887-3,SWITCH,None Specified,22395.0,750ep000003HeSLAA0
01tep000002Qcw5AAC,False,1060KLM01,HARNESS,None Specified,22396.0,750ep000003HeSLAA0
01tep000002Qcw6AAC,False,1061KLM01,HARNESS,None Specified,22397.0,750ep000003HeSLAA0
01tep000002Qcw7AAC,False,106500,BROUTER ASSEMBL,BOEING AIRCRAFT,22398.0,750ep000003HeSLAA0
01tep000002Qcw8AAC,False,1066KLM01,HARNESS,None Specified,22399.0,750ep000003HeSLAA0
01tep000002Qcw9AAC,False,100-602200-001,DIPLEXER,None Specified,22400.0,750ep000003HeSLAA0
01tep000002QcwAAAS,False,116W2126-4,KEY,None Specified,22401.0,750ep000003HeSLAA0
01tep000002QcwBAAS,False,116W2126-5,KEY,None Specified,22402.0,750ep000003HeSLAA0
01tep000002QcwCAAS,False,116W2126-6,KEY,None Specified,22403.0,750ep000003HeSLAA0
01tep000002QcwDAAS,False,116W2333-1,SEAL,Boeing,22404.0,750ep000003HeSLAA0
01tep000002QcwEAAS,False,116W2333-2,SEAL,Boeing,22405.0,750ep000003HeSLAA0
01tep000002QcwFAAS,False,116W2333-3,SEAL,Boeing,22406.0,750ep000003HeSLAA0
01tep000002QcwGAAS,False,116W2801-5,TRACK AY,None Specified,22407.0,750ep000003HeSLAA0
01tep000002QcwHAAS,False,116W2806-1,STOP FTG,Boeing,22408.0,750ep000003HeSLAA0
01tep000002QcwIAAS,False,116W2806-2,STOP,Boeing,22409.0,750ep000003HeSLAA0
01tep000002QcwJAAS,False,116W2808-7,TRACK AY,None Specified,22410.0,750ep000003HeSLAA0
01tep000002QcwKAAS,False,116W3700-10,SEAL,None Specified,22411.0,750ep000003HeSLAA0
01tep000002QcwLAAS,False,116W3700-3,SEAL,Boeing,22412.0,750ep000003HeSLAA0
01tep000002QcwMAAS,False,116W3700-9,SEAL,Boeing,22413.0,750ep000003HeSLAA0
01tep000002QcwNAAS,False,116W4114-1,ADAPTER,Boeing,22414.0,750ep000003HeSLAA0
01tep000002QcwOAAS,False,116W4114-4,ADPTR AY,Boeing,22415.0,750ep000003HeSLAA0
01tep000002QcwPAAS,False,116W4115-1,WASHER,Boeing,22416.0,750ep000003HeSLAA0
01tep000002QcwQAAS,False,116W4115-2,WASHER,Boeing,22417.0,750ep000003HeSLAA0
