PART_NUMBER,ITEM_NAME,FSC,NIIN,CAGE_CODE,COMPANY,CAGE_STATUS,UNIT_PRICE,EFFECTIVE_DATE
C5B205333,"RELEASE,MECHANISM",1680,012305966,78567,SPECO CORP,H,000013023.18,2025-05-01
C5B205333,"RELEASE,MECHANISM",1680,012305966,98752,WARNER ROBINS AIR LOGISTICS CENTER,A,000013023.18,2025-05-01
9R3886,"NRP,RESTRICTOR CHEC",1680,016225767,99240,CRISSAIR INC DIV ESCO TECHNOLOGIES,A,000004892.40,2024-10-01
9R3886,"NRP,RESTRICTOR CHEC",1680,016225767,1WAC1,"NEW ENGLAND SPECIALTY COMPONENTS, LLC",A,000004892.40,2024-10-01
5030T92P03,"SEAL ASSEMBLY,CARBON",2840,011506660,99207,GENERAL ELECTRIC COMPANY,A,000003219.17,2024-10-01
201100,"SEAL ASSEMBLY,CARBON",2840,011506660,75370,KAYDON RING & SEAL INC DBA SKF PRECISION TECHNOLOGIES,A,000003219.17,2024-10-01
10158655,"SEAL ASSEMBLY,CARBON",2840,011506660,A486G,NIMIKKEISTOKESKUS NCB FINLAND,A,000003219.17,2024-10-01
